x,y,z
1699 ,3746 ,528 
1699 ,3746 ,528 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1748 ,3728 ,578 
1693 ,3739 ,532 
1693 ,3739 ,532 
1693 ,3739 ,532 
1693 ,3739 ,532 
1693 ,3739 ,532 
1693 ,3739 ,532 
1693 ,3739 ,532 
1693 ,3739 ,532 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1722 ,3696 ,538 
1711 ,3759 ,518 
1711 ,3759 ,518 
1711 ,3759 ,518 
1711 ,3759 ,518 
1711 ,3759 ,518 
1711 ,3759 ,518 
1711 ,3759 ,518 
1711 ,3759 ,518 
1717 ,3743 ,525 
1717 ,3743 ,525 
1717 ,3743 ,525 
1717 ,3743 ,525 
1717 ,3743 ,525 
1717 ,3743 ,525 
1717 ,3743 ,525 
1717 ,3743 ,525 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1760 ,3741 ,536 
1716 ,3721 ,581 
1716 ,3721 ,581 
1716 ,3721 ,581 
1716 ,3721 ,581 
1716 ,3721 ,581 
1716 ,3721 ,581 
1716 ,3721 ,581 
1716 ,3721 ,581 
1817 ,3712 ,653 
1817 ,3712 ,653 
1817 ,3712 ,653 
1817 ,3712 ,653 
1817 ,3712 ,653 
1817 ,3712 ,653 
1817 ,3712 ,653 
1817 ,3712 ,653 
1747 ,3752 ,558 
1747 ,3752 ,558 
1747 ,3752 ,558 
1747 ,3752 ,558 
1747 ,3752 ,558 
1747 ,3752 ,558 
801 ,169 ,-139 
801 ,169 ,-139 
801 ,169 ,-139 
801 ,169 ,-139 
801 ,169 ,-139 
801 ,169 ,-139 
801 ,169 ,-139 
801 ,169 ,-139 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
806 ,1687 ,403 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1756 ,432 
763 ,1804 ,471 
763 ,1804 ,471 
763 ,1804 ,471 
763 ,1804 ,471 
763 ,1804 ,471 
763 ,1804 ,471 
763 ,1804 ,471 
763 ,1804 ,471 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
762 ,1809 ,438 
749 ,1821 ,468 
749 ,1821 ,468 
749 ,1821 ,468 
749 ,1821 ,468 
749 ,1821 ,468 
749 ,1821 ,468 
749 ,1821 ,468 
749 ,1821 ,468 
798 ,1805 ,439 
798 ,1805 ,439 
798 ,1805 ,439 
798 ,1805 ,439 
798 ,1805 ,439 
798 ,1805 ,439 
798 ,1805 ,439 
798 ,1805 ,439 
819 ,1863 ,462 
819 ,1863 ,462 
819 ,1863 ,462 
819 ,1863 ,462 
819 ,1863 ,462 
819 ,1863 ,462 
